rows 50 cols 75 nonzeros 5 sigma 1
lambda, precision, recall, SSD RSS
917.756943396 , 1.0 , 0.6 , 432.536676703 , 15753.8285398
734.205554717 , 1.0 , 0.6 , 361.285458056 , 12088.3200087
587.364443773 , 0.75 , 0.6 , 315.016583437 , 9679.78269995
469.891555019 , 0.8 , 0.8 , 265.756966993 , 7512.44608049
375.913244015 , 0.833333333333 , 1.0 , 202.948187002 , 5486.34973936
300.730595212 , 0.833333333333 , 1.0 , 130.953301258 , 3536.7141398
240.58447617 , 0.833333333333 , 1.0 , 84.6668149884 , 2288.71420136
192.467580936 , 0.833333333333 , 1.0 , 54.8843968247 , 1489.97960633
153.974064749 , 0.833333333333 , 1.0 , 35.6966390076 , 978.804072354
123.179251799 , 0.833333333333 , 1.0 , 23.3147552317 , 651.651754921
98.543401439 , 0.833333333333 , 1.0 , 15.3089736411 , 442.274271765
78.8347211512 , 0.833333333333 , 1.0 , 10.120172644 , 308.272682545
63.067776921 , 0.833333333333 , 1.0 , 6.74792666843 , 222.519495447
50.4542215368 , 0.625 , 1.0 , 4.65757454893 , 163.079395544
40.3633772294 , 0.5 , 1.0 , 3.37364436728 , 123.498025015
32.2907017835 , 0.357142857143 , 1.0 , 2.58261334342 , 95.4029250593
25.8325614268 , 0.3125 , 1.0 , 2.08221392175 , 73.1594780443
20.6660491415 , 0.277777777778 , 1.0 , 1.76921316408 , 56.1026824093
16.5328393132 , 0.227272727273 , 1.0 , 1.57788539178 , 43.7483800386
13.2262714505 , 0.185185185185 , 1.0 , 1.52616797464 , 32.9926655833
10.5810171604 , 0.178571428571 , 1.0 , 1.54183359547 , 24.1384261603
8.46481372835 , 0.15625 , 1.0 , 1.60660461265 , 17.7694396251
6.77185098268 , 0.147058823529 , 1.0 , 1.75269421281 , 13.0274546938
5.41748078614 , 0.135135135135 , 1.0 , 1.96881470273 , 9.37204953169
4.33398462891 , 0.131578947368 , 1.0 , 2.21260147919 , 6.64528479816
3.46718770313 , 0.131578947368 , 1.0 , 2.41568918439 , 4.75615029461
2.7737501625 , 0.125 , 1.0 , 2.56887618601 , 3.41790897515
2.21900013 , 0.121951219512 , 1.0 , 2.6729548338 , 2.53706152953
1.775200104 , 0.108695652174 , 1.0 , 2.74783630109 , 1.89036177048
1.4201600832 , 0.102040816327 , 1.0 , 2.82129708125 , 1.38630261823
1.13612806656 , 0.0961538461538 , 1.0 , 2.91710872552 , 0.968633471416
