rows 50 cols 5000 nonzeros 5 sigma 1
lambda, precision, recall, SSD RSS
1165.17697035 , 1.0 , 0.2 , 459.296248071 , 21364.6828777
932.141576281 , 0.75 , 0.6 , 396.277979716 , 16748.5788323
745.713261025 , 0.428571428571 , 0.6 , 350.272533474 , 12490.1585247
596.57060882 , 0.4 , 0.8 , 306.420077382 , 9012.83424199
477.256487056 , 0.25 , 0.8 , 282.358555236 , 6154.65302593
381.805189645 , 0.210526315789 , 0.8 , 271.677949273 , 4194.24691106
305.444151716 , 0.133333333333 , 0.8 , 272.349890343 , 2816.15438379
244.355321373 , 0.121212121212 , 0.8 , 280.096355407 , 1854.9269594
195.484257098 , 0.108108108108 , 0.8 , 287.754808997 , 1212.57498306
156.387405678 , 0.1 , 0.8 , 296.718267977 , 787.503462222
125.109924543 , 0.0952380952381 , 0.8 , 300.169737886 , 509.383729666
100.087939634 , 0.093023255814 , 0.8 , 303.798003825 , 330.125485087
80.0703517074 , 0.0909090909091 , 0.8 , 306.522149136 , 212.929929043
64.0562813659 , 0.0888888888889 , 0.8 , 308.666489857 , 137.091291335
51.2450250927 , 0.0851063829787 , 0.8 , 311.036403566 , 88.0310401506
40.9960200742 , 0.0851063829787 , 0.8 , 313.036886764 , 56.502181418
32.7968160593 , 0.0833333333333 , 0.8 , 314.447356875 , 36.381921666
26.2374528475 , 0.08 , 0.8 , 315.531137296 , 23.41775284
20.989962278 , 0.0769230769231 , 0.8 , 315.911989712 , 15.0318742954
16.7919698224 , 0.078431372549 , 0.8 , 316.32308984 , 9.64238048678
13.4335758579 , 0.0754716981132 , 0.8 , 316.584803847 , 6.19703070711
10.7468606863 , 0.0740740740741 , 0.8 , 316.80749659 , 3.96785719086
8.59748854906 , 0.0727272727273 , 0.8 , 316.971204692 , 2.53961297895
6.87799083925 , 0.0714285714286 , 0.8 , 317.145421447 , 1.62599100651
5.5023926714 , 0.0714285714286 , 0.8 , 317.303888712 , 1.04094341288
4.40191413712 , 0.0714285714286 , 0.8 , 317.44200267 , 0.666207357989
3.5215313097 , 0.0862068965517 , 1.0 , 317.354236166 , 0.428120926836
2.81722504776 , 0.0862068965517 , 1.0 , 317.084563865 , 0.276893621124
2.2537800382 , 0.0833333333333 , 1.0 , 316.792819039 , 0.180018291044
1.80302403056 , 0.078125 , 1.0 , 316.510764564 , 0.117074623455
1.44241922445 , 0.0769230769231 , 1.0 , 316.27400806 , 0.0755054017974
1.15393537956 , 0.0724637681159 , 1.0 , 316.075346046 , 0.0489845259136
