rows 50 cols 150 nonzeros 5 sigma 1
lambda, precision, recall, SSD RSS
869.30629867 , 1.0 , 0.4 , 448.787694461 , 16805.3923969
695.445038936 , 1.0 , 0.8 , 378.983902778 , 13614.0880695
556.356031149 , 1.0 , 0.8 , 286.217508582 , 9869.53819818
445.084824919 , 1.0 , 1.0 , 204.006316506 , 6872.93499776
356.067859935 , 1.0 , 1.0 , 131.245258458 , 4409.42980678
284.854287948 , 1.0 , 1.0 , 84.5471875614 , 2832.79886707
227.883430359 , 1.0 , 1.0 , 54.5552183376 , 1823.75506573
182.306744287 , 1.0 , 1.0 , 35.2763741084 , 1177.97239317
145.84539543 , 1.0 , 1.0 , 22.8707761148 , 764.677089267
116.676316344 , 1.0 , 1.0 , 14.8771824272 , 500.162831587
93.3410530749 , 0.833333333333 , 1.0 , 9.78746145036 , 330.716411226
74.6728424599 , 0.714285714286 , 1.0 , 6.54018467086 , 221.891547724
59.7382739679 , 0.625 , 1.0 , 4.43095023205 , 152.181429484
47.7906191743 , 0.5 , 1.0 , 3.15556509961 , 106.676043115
38.2324953395 , 0.5 , 1.0 , 2.33903330151 , 77.1983417532
30.5859962716 , 0.454545454545 , 1.0 , 1.80175030647 , 57.4374761011
24.4687970173 , 0.3125 , 1.0 , 1.47361192988 , 44.0394726953
19.5750376138 , 0.277777777778 , 1.0 , 1.29187187136 , 32.6491693069
15.660030091 , 0.263157894737 , 1.0 , 1.19243767111 , 24.3213751054
12.5280240728 , 0.192307692308 , 1.0 , 1.20196500197 , 17.7690486951
10.0224192583 , 0.166666666667 , 1.0 , 1.23243540198 , 12.7762359621
8.01793540662 , 0.147058823529 , 1.0 , 1.33464611165 , 8.96436160808
6.41434832529 , 0.151515151515 , 1.0 , 1.42978816927 , 6.28277390511
5.13147866023 , 0.147058823529 , 1.0 , 1.50659051213 , 4.55867767421
4.10518292819 , 0.131578947368 , 1.0 , 1.58863390649 , 3.26608923278
3.28414634255 , 0.119047619048 , 1.0 , 1.67741848211 , 2.24400195124
2.62731707404 , 0.111111111111 , 1.0 , 1.74627066111 , 1.52944429099
2.10185365923 , 0.106382978723 , 1.0 , 1.80159816085 , 1.00573713814
1.68148292739 , 0.0980392156863 , 1.0 , 1.84121498041 , 0.678883994716
1.34518634191 , 0.0925925925926 , 1.0 , 1.87238885344 , 0.446470856234
1.07614907353 , 0.0877192982456 , 1.0 , 1.89510433951 , 0.291499454599
