rows 100 cols 150 nonzeros 5 sigma 1
lambda, precision, recall, SSD RSS
2313.34883977 , 1.0 , 0.2 , 459.591950196 , 50746.1292956
1850.67907181 , 1.0 , 0.8 , 362.145901461 , 38971.7605007
1480.54325745 , 1.0 , 1.0 , 232.614500632 , 25083.1778166
1184.43460596 , 1.0 , 1.0 , 148.542967381 , 16086.6789046
947.547684768 , 1.0 , 1.0 , 94.8059563169 , 10328.9184638
758.038147815 , 1.0 , 1.0 , 60.4692956901 , 6643.95178169
606.430518252 , 1.0 , 1.0 , 38.5378540527 , 4285.57310514
485.144414601 , 1.0 , 1.0 , 24.5363686142 , 2776.15872497
388.115531681 , 1.0 , 1.0 , 15.6041731389 , 1810.18554529
310.492425345 , 1.0 , 1.0 , 9.91010651425 , 1191.96271385
248.393940276 , 1.0 , 1.0 , 6.28393462662 , 796.300101722
198.715152221 , 1.0 , 1.0 , 3.97760922022 , 543.076029962
158.972121777 , 1.0 , 1.0 , 2.51310064148 , 381.012624035
127.177697421 , 1.0 , 1.0 , 1.58504689617 , 277.292044242
101.742157937 , 1.0 , 1.0 , 0.998477895238 , 210.910873175
81.3937263496 , 1.0 , 1.0 , 0.628982051494 , 168.426923692
65.1149810797 , 1.0 , 1.0 , 0.397174130838 , 141.231282926
52.0919848637 , 1.0 , 1.0 , 0.25265723777 , 123.831983199
41.673587891 , 0.625 , 1.0 , 0.166349452335 , 109.85458106
33.3388703128 , 0.416666666667 , 1.0 , 0.127561650564 , 95.7304061386
26.6710962502 , 0.25 , 1.0 , 0.122871277113 , 84.0192385774
21.3368770002 , 0.178571428571 , 1.0 , 0.145325134071 , 71.4708383016
17.0695016002 , 0.151515151515 , 1.0 , 0.199254037608 , 58.8054880779
13.6556012801 , 0.125 , 1.0 , 0.266668897624 , 49.1211240196
10.9244810241 , 0.104166666667 , 1.0 , 0.366040042565 , 39.0517623377
8.73958481928 , 0.0909090909091 , 1.0 , 0.507758130307 , 30.4542488859
6.99166785542 , 0.0793650793651 , 1.0 , 0.669373623087 , 23.8829882929
5.59333428434 , 0.0704225352113 , 1.0 , 0.835407354696 , 18.2409503851
4.47466742747 , 0.0625 , 1.0 , 1.00943350223 , 13.4407865101
3.57973394198 , 0.0609756097561 , 1.0 , 1.19828741305 , 9.69610969588
2.86378715358 , 0.0595238095238 , 1.0 , 1.38543068653 , 7.04589891913
2.29102972286 , 0.0581395348837 , 1.0 , 1.55747591344 , 5.10111300792
1.83282377829 , 0.054347826087 , 1.0 , 1.72238074571 , 3.6536000407
1.46625902263 , 0.0520833333333 , 1.0 , 1.86665905852 , 2.64065694926
1.17300721811 , 0.0485436893204 , 1.0 , 2.02404728426 , 1.76782072162
