rows 50 cols 75 nonzeros 5 sigma 1
lambda, precision, recall, SSD RSS
904.596399209 , 1.0 , 0.6 , 419.967061219 , 17823.5882346
723.677119367 , 1.0 , 0.6 , 348.242685614 , 14065.9834152
578.941695494 , 1.0 , 1.0 , 262.433192764 , 10371.5238817
463.153356395 , 1.0 , 1.0 , 166.908455827 , 6658.73141026
370.522685116 , 1.0 , 1.0 , 106.003760592 , 4282.5537367
296.418148093 , 1.0 , 1.0 , 67.209433952 , 2761.80002559
237.134518474 , 1.0 , 1.0 , 42.528807551 , 1788.51765048
189.707614779 , 1.0 , 1.0 , 26.8501179993 , 1165.57705197
151.766091823 , 1.0 , 1.0 , 16.9115909109 , 766.934946965
121.412873459 , 1.0 , 1.0 , 10.6265785866 , 511.804000159
97.130298767 , 1.0 , 1.0 , 6.66468670155 , 348.520194203
77.7042390136 , 1.0 , 1.0 , 4.17748869723 , 244.018558391
62.1633912109 , 0.833333333333 , 1.0 , 2.63047075899 , 176.947549646
49.7307129687 , 0.833333333333 , 1.0 , 1.6906164547 , 133.23429383
39.784570375 , 0.833333333333 , 1.0 , 1.10830680906 , 105.259537779
31.8276563 , 0.625 , 1.0 , 0.754921556073 , 86.6389918408
25.46212504 , 0.5 , 1.0 , 0.57036634834 , 69.9114294442
20.369700032 , 0.416666666667 , 1.0 , 0.446416317517 , 56.6994588692
16.2957600256 , 0.263157894737 , 1.0 , 0.389453048222 , 45.023602746
13.0366080205 , 0.208333333333 , 1.0 , 0.402473842627 , 35.0623095611
10.4292864164 , 0.166666666667 , 1.0 , 0.473886822384 , 26.2844501977
8.3434291331 , 0.15625 , 1.0 , 0.573227579647 , 19.4030577723
6.67474330648 , 0.138888888889 , 1.0 , 0.725376990169 , 14.2650658877
5.33979464519 , 0.135135135135 , 1.0 , 0.929648663633 , 10.1155080484
4.27183571615 , 0.138888888889 , 1.0 , 1.13256965883 , 7.3395290723
3.41746857292 , 0.128205128205 , 1.0 , 1.30080036949 , 5.46324538414
2.73397485834 , 0.121951219512 , 1.0 , 1.46696110692 , 4.10384256266
2.18717988667 , 0.119047619048 , 1.0 , 1.63495455675 , 3.02290631679
1.74974390933 , 0.111111111111 , 1.0 , 1.78451147621 , 2.10524573973
1.39979512747 , 0.106382978723 , 1.0 , 1.91437023693 , 1.45748458438
1.11983610197 , 0.104166666667 , 1.0 , 2.030129816 , 0.992515654389
