rows 100 cols 75 nonzeros 5 sigma 1
lambda, precision, recall, SSD RSS
2072.77759336 , 1.0 , 0.4 , 453.286921861 , 42937.7738657
1658.22207469 , 1.0 , 0.8 , 373.997984817 , 34349.0834288
1326.57765975 , 1.0 , 1.0 , 259.882481401 , 23494.3078273
1061.2621278 , 1.0 , 1.0 , 166.778757099 , 15066.5821532
849.009702242 , 1.0 , 1.0 , 107.107383932 , 9672.84172882
679.207761793 , 1.0 , 1.0 , 68.8496875525 , 6220.84785722
543.366209435 , 1.0 , 1.0 , 44.3103478266 , 4011.57177939
434.692967548 , 1.0 , 1.0 , 28.5616391678 , 2597.63508958
347.754374038 , 1.0 , 1.0 , 18.4476406389 , 1692.7156081
278.203499231 , 1.0 , 1.0 , 11.9466524106 , 1113.54789536
222.562799384 , 1.0 , 1.0 , 7.76390265183 , 742.899803749
178.050239508 , 1.0 , 1.0 , 5.06911210904 , 505.685025168
142.440191606 , 1.0 , 1.0 , 3.33018160372 , 353.867566876
113.952153285 , 1.0 , 1.0 , 2.20585443398 , 256.704393569
91.1617226279 , 1.0 , 1.0 , 1.47715572827 , 194.519962652
72.9293781023 , 1.0 , 1.0 , 1.00348510297 , 154.721926866
58.3435024818 , 0.714285714286 , 1.0 , 0.712852665639 , 126.077419562
46.6748019855 , 0.5 , 1.0 , 0.54723107632 , 102.423486011
37.3398415884 , 0.5 , 1.0 , 0.446179398144 , 85.7298475415
29.8718732707 , 0.5 , 1.0 , 0.392218543731 , 75.06257461
23.8974986166 , 0.357142857143 , 1.0 , 0.367505605562 , 66.9441212655
19.1179988932 , 0.294117647059 , 1.0 , 0.366016251784 , 60.6867696726
15.2943991146 , 0.227272727273 , 1.0 , 0.380165141481 , 55.3671500565
12.2355192917 , 0.208333333333 , 1.0 , 0.399556174543 , 51.1093626243
9.78841543334 , 0.151515151515 , 1.0 , 0.416714756777 , 47.207991142
7.83073234667 , 0.113636363636 , 1.0 , 0.437499429798 , 42.559041393
6.26458587734 , 0.108695652174 , 1.0 , 0.493658320964 , 37.7568819732
5.01166870187 , 0.1 , 1.0 , 0.549879653068 , 34.5638289476
4.0093349615 , 0.0961538461538 , 1.0 , 0.618202652945 , 32.0147820752
3.2074679692 , 0.0847457627119 , 1.0 , 0.709423202927 , 29.5751038429
2.56597437536 , 0.0833333333333 , 1.0 , 0.824844759218 , 27.6038002115
2.05277950029 , 0.078125 , 1.0 , 0.944005551286 , 26.1784423917
1.64222360023 , 0.0769230769231 , 1.0 , 1.05986923648 , 25.1767341275
1.31377888018 , 0.0757575757576 , 1.0 , 1.16602869172 , 24.5051078777
1.05102310415 , 0.0735294117647 , 1.0 , 1.2645151 , 24.0264751985
