rows 50 cols 5000 nonzeros 5 sigma 1
lambda, precision, recall, SSD RSS
859.264108096 , 0.222222222222 , 0.4 , 458.396383195 , 16859.1556553
687.411286477 , 0.222222222222 , 0.4 , 437.112601441 , 11760.1116018
549.929029181 , 0.230769230769 , 0.6 , 414.777253537 , 8166.89599089
439.943223345 , 0.142857142857 , 0.6 , 402.103436229 , 5507.37994837
351.954578676 , 0.125 , 0.6 , 399.230822898 , 3633.84788642
281.563662941 , 0.115384615385 , 0.6 , 401.225118648 , 2418.01702382
225.250930353 , 0.111111111111 , 0.6 , 404.30376282 , 1626.20435109
180.200744282 , 0.15625 , 1.0 , 370.524775274 , 1068.39006597
144.160595426 , 0.147058823529 , 1.0 , 278.056283191 , 688.830841336
115.328476341 , 0.142857142857 , 1.0 , 218.264686667 , 444.135242786
92.2627810725 , 0.142857142857 , 1.0 , 177.8564163 , 286.956312596
73.810224858 , 0.128205128205 , 1.0 , 148.294819296 , 185.695364337
59.0481798864 , 0.119047619048 , 1.0 , 128.760514875 , 119.617088049
47.2385439091 , 0.119047619048 , 1.0 , 111.086388604 , 77.0347143156
37.7908351273 , 0.116279069767 , 1.0 , 97.2367065447 , 49.7090053387
30.2326681018 , 0.119047619048 , 1.0 , 90.313094172 , 32.0191414533
24.1861344815 , 0.111111111111 , 1.0 , 85.7971536839 , 20.6312483642
19.3489075852 , 0.108695652174 , 1.0 , 82.663378266 , 13.2418608067
15.4791260681 , 0.102040816327 , 1.0 , 80.8361216445 , 8.48909108229
12.3833008545 , 0.102040816327 , 1.0 , 79.4105310541 , 5.44163939477
9.90664068361 , 0.1 , 1.0 , 78.2960255519 , 3.48730416744
7.92531254689 , 0.1 , 1.0 , 77.4716419988 , 2.24180574063
6.34025003751 , 0.0980392156863 , 1.0 , 76.8050331865 , 1.43846627614
5.07220003001 , 0.0943396226415 , 1.0 , 76.2809793218 , 0.92550576821
4.05776002401 , 0.0909090909091 , 1.0 , 75.8622576679 , 0.595612881511
3.2462080192 , 0.0909090909091 , 1.0 , 75.5283795307 , 0.383674531809
2.59696641536 , 0.0862068965517 , 1.0 , 75.2646049975 , 0.24771866011
2.07757313229 , 0.0833333333333 , 1.0 , 75.0510367247 , 0.159084984614
1.66205850583 , 0.0819672131148 , 1.0 , 74.8800786387 , 0.101923684333
1.32964680467 , 0.0806451612903 , 1.0 , 74.7462097624 , 0.0656475401051
1.06371744373 , 0.078125 , 1.0 , 74.6392917441 , 0.042214940987
