rows 100 cols 150 nonzeros 5 sigma 1
lambda, precision, recall, SSD RSS
1373.61661736 , 1.0 , 0.4 , 455.499428529 , 29778.7163199
1098.89329389 , 1.0 , 0.8 , 349.445697389 , 22291.7597952
879.114635113 , 1.0 , 1.0 , 234.148942719 , 14830.5284154
703.291708091 , 1.0 , 1.0 , 150.642612454 , 9521.85241636
562.633366473 , 1.0 , 1.0 , 97.0504771957 , 6124.36063531
450.106693178 , 1.0 , 1.0 , 62.6312884744 , 3949.90348255
360.085354542 , 1.0 , 1.0 , 40.5076178931 , 2558.25090426
288.068283634 , 1.0 , 1.0 , 26.272156888 , 1667.59325415
230.454626907 , 1.0 , 1.0 , 17.1004123783 , 1097.57235808
184.363701526 , 1.0 , 1.0 , 11.1816563189 , 732.758984596
147.490961221 , 1.0 , 1.0 , 7.35458078239 , 499.278425566
117.992768976 , 0.833333333333 , 1.0 , 4.89576794375 , 348.967242241
94.3942151812 , 0.833333333333 , 1.0 , 3.3182222892 , 251.713629035
75.5153721449 , 0.625 , 1.0 , 2.30722144201 , 186.303157214
60.412297716 , 0.555555555556 , 1.0 , 1.66934554627 , 142.734456452
48.3298381728 , 0.5 , 1.0 , 1.25297817427 , 113.680119172
38.6638705382 , 0.416666666667 , 1.0 , 0.987118620891 , 93.164965206
30.9310964306 , 0.333333333333 , 1.0 , 0.8155137899 , 77.9453701096
24.7448771445 , 0.217391304348 , 1.0 , 0.724740127789 , 65.5829936197
19.7959017156 , 0.166666666667 , 1.0 , 0.671875451158 , 55.149255273
15.8367213725 , 0.125 , 1.0 , 0.630329079046 , 45.0130399168
12.669377098 , 0.108695652174 , 1.0 , 0.600566169434 , 35.8628134696
10.1355016784 , 0.1 , 1.0 , 0.605713170364 , 29.2246896909
8.1084013427 , 0.0862068965517 , 1.0 , 0.635306492124 , 23.7810672079
6.48672107416 , 0.0757575757576 , 1.0 , 0.690154502215 , 18.8675396319
5.18937685933 , 0.0666666666667 , 1.0 , 0.759306709129 , 14.6659969269
4.15150148746 , 0.0649350649351 , 1.0 , 0.850179839536 , 11.19683244
3.32120118997 , 0.0595238095238 , 1.0 , 0.975542995191 , 8.20658956257
2.65696095197 , 0.0609756097561 , 1.0 , 1.11258343719 , 6.10582511125
2.12556876158 , 0.0581395348837 , 1.0 , 1.23740486948 , 4.68781817839
1.70045500926 , 0.0526315789474 , 1.0 , 1.34160155159 , 3.58990946981
1.36036400741 , 0.0537634408602 , 1.0 , 1.44285616598 , 2.60477978904
1.08829120593 , 0.049504950495 , 1.0 , 1.52415327614 , 1.96196088011
