rows 50 cols 150 nonzeros 5 sigma 1
lambda, precision, recall, SSD RSS
1086.67834399 , 1.0 , 0.2 , 463.215254496 , 18944.1497141
869.342675195 , 1.0 , 0.4 , 425.143911299 , 16640.1088211
695.474140156 , 0.8 , 0.8 , 339.079581684 , 12448.9416836
556.379312125 , 0.8 , 0.8 , 267.887863271 , 9085.65676451
445.1034497 , 0.833333333333 , 1.0 , 215.213003465 , 6814.47498266
356.08275976 , 0.833333333333 , 1.0 , 137.65351346 , 4374.3357344
284.866207808 , 0.833333333333 , 1.0 , 88.0362218676 , 2812.59772661
227.892966246 , 0.833333333333 , 1.0 , 56.3044315707 , 1813.22112593
182.314372997 , 0.625 , 1.0 , 36.1337133217 , 1173.13156619
145.851498398 , 0.625 , 1.0 , 23.490266654 , 762.354027202
116.681198718 , 0.625 , 1.0 , 15.3500605576 , 499.578689343
93.3449589745 , 0.625 , 1.0 , 10.0916666614 , 331.295028697
74.6759671796 , 0.625 , 1.0 , 6.69147493619 , 223.593259398
59.7407737437 , 0.555555555556 , 1.0 , 4.49078558075 , 154.668816872
47.7926189949 , 0.555555555556 , 1.0 , 3.0938822495 , 110.401793233
38.234095196 , 0.5 , 1.0 , 2.18390750275 , 81.9914524691
30.5872761568 , 0.384615384615 , 1.0 , 1.62652144849 , 62.8665834974
24.4698209254 , 0.294117647059 , 1.0 , 1.22486169398 , 47.1630420592
19.5758567403 , 0.238095238095 , 1.0 , 0.951127296003 , 35.2698394962
15.6606853923 , 0.192307692308 , 1.0 , 0.813133263757 , 25.6012252264
12.5285483138 , 0.15625 , 1.0 , 0.748660709401 , 18.4475518295
10.022838651 , 0.147058823529 , 1.0 , 0.72729408512 , 12.9747334932
8.01827092084 , 0.138888888889 , 1.0 , 0.760449128435 , 9.18180976706
6.41461673667 , 0.131578947368 , 1.0 , 0.82656065679 , 6.51546394504
5.13169338934 , 0.119047619048 , 1.0 , 0.908498837364 , 4.4878264727
4.10535471147 , 0.113636363636 , 1.0 , 0.967829940983 , 3.01863124099
3.28428376918 , 0.104166666667 , 1.0 , 0.993108892186 , 2.03104950314
2.62742701534 , 0.104166666667 , 1.0 , 1.0134094244 , 1.35247010962
2.10194161227 , 0.0980392156863 , 1.0 , 1.02824078216 , 0.897665953012
1.68155328982 , 0.0961538461538 , 1.0 , 1.03963350749 , 0.590260602918
1.34524263185 , 0.0943396226415 , 1.0 , 1.05235461141 , 0.390399142842
1.07619410548 , 0.0925925925926 , 1.0 , 1.06574601171 , 0.255527199082
