1.000000000000000000e+02,2.424242424242424310e-01,2.222222222222222099e-01,2.323232323232323204e-01,2.323232323232323204e-01,2.626262626262626521e-01,2.323232323232323204e-01,2.323232323232323204e-01
2.000000000000000000e+02,1.708542713567839100e-01,1.608040201005025149e-01,1.507537688442210921e-01,1.608040201005025149e-01,1.859296482412060303e-01,1.758793969849246352e-01,1.859296482412060303e-01
3.000000000000000000e+02,1.705685618729096964e-01,1.371237458193979852e-01,1.237458193979933119e-01,1.304347826086956486e-01,1.404682274247491536e-01,1.605351170568561914e-01,1.705685618729096964e-01
4.000000000000000000e+02,1.604010025062656553e-01,1.152882205513784397e-01,1.052631578947368363e-01,1.152882205513784397e-01,1.328320802005012458e-01,1.528822055137844527e-01,1.629072681704260561e-01
5.000000000000000000e+02,1.503006012024048210e-01,1.082164328657314600e-01,9.418837675350701100e-02,1.062124248496993939e-01,1.242484969939879752e-01,1.482965931863727549e-01,1.603206412825651239e-01
6.000000000000000000e+02,1.352253756260433926e-01,9.348914858096828151e-02,9.181969949916526930e-02,9.849749582637729040e-02,1.168614357262103554e-01,1.385642737896494170e-01,1.535893155258764575e-01
7.000000000000000000e+02,1.258941344778254645e-01,8.726752503576537534e-02,8.440629470672389445e-02,9.298998569384835100e-02,1.101573676680972780e-01,1.373390557939914158e-01,1.459227467811158863e-01
8.000000000000000000e+02,1.276595744680850963e-01,8.385481852315394835e-02,8.635794743429286990e-02,8.886107634543179146e-02,1.013767209011264131e-01,1.339173967459324210e-01,1.439299123904881073e-01
9.000000000000000000e+02,1.245828698553948788e-01,7.897664071190210744e-02,8.008898776418242604e-02,8.231368186874304937e-02,9.788654060066741269e-02,1.279199110122358207e-01,1.390433815350389235e-01
1.000000000000000000e+03,1.261261261261261146e-01,8.008008008008007939e-02,8.308308308308308410e-02,8.508508508508508261e-02,9.809809809809809378e-02,1.301301301301301394e-01,1.441441441441441429e-01
