1.000000000000000000e+02,2.600000000000000089e-01
2.000000000000000000e+02,2.149999999999999967e-01
3.000000000000000000e+02,2.200000000000000011e-01
4.000000000000000000e+02,1.950000000000000067e-01
5.000000000000000000e+02,1.900000000000000022e-01
6.000000000000000000e+02,1.716666666666666619e-01
7.000000000000000000e+02,1.642857142857142849e-01
8.000000000000000000e+02,1.499999999999999944e-01
9.000000000000000000e+02,1.422222222222222221e-01
1.000000000000000000e+03,1.400000000000000133e-01
