1.000000000000000000e+02,3.300000000000000155e-01
2.000000000000000000e+02,2.650000000000000133e-01
3.000000000000000000e+02,2.333333333333333370e-01
4.000000000000000000e+02,2.124999999999999944e-01
5.000000000000000000e+02,1.940000000000000058e-01
6.000000000000000000e+02,1.833333333333333204e-01
7.000000000000000000e+02,1.742857142857142938e-01
8.000000000000000000e+02,1.687500000000000111e-01
9.000000000000000000e+02,1.600000000000000033e-01
1.000000000000000000e+03,1.529999999999999971e-01
